"Conceito","MacroCategoria","Categoria","Subcategoria","Modulo_Curso","Prerequisito","Conhecimento_Atual","Objetivo","Data_Estudo","Tempo_Investido_hrs","Fonte_Estudo","Regras_Operacionais","Probabilidade","Mercado_Aplicavel","Notas"
"Head and Shoulders - Definição","Padrões","Reversão - H&S","Framework","19-29","MTR","0","10","","","Livro/Video/Arvore","","","Universal","Ombro-Cabeça-Ombro - forma de MTR"
"H&S - Ombro Esquerdo","Padrões","H&S","Estrutura","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","Primeiro swing da tendência"
"H&S - Cabeça","Padrões","H&S","Estrutura","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","Swing mais extremo"
"H&S - Ombro Direito","Padrões","H&S","Estrutura","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","Último swing - forma LH (topo) ou HL (fundo)"
"H&S - Linha do Pescoço","Padrões","H&S","Estrutura","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","Conecta mínimas - gatilho de entrada"
"H&S - Resultado Majoritário (raro)","Padrões","H&S","Resultado","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","Verdadeira reversão - pouco comum"
"H&S - Resultado Minoritário (comum)","Padrões","H&S","Resultado","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","Apenas correção - mais comum"
"H&S Invertido (fundo)","Padrões","H&S","Tipos","19-29","H&S","0","10","","","Livro/Video/Arvore","","","Universal","Inverted H&S - reversão de baixa"
"Xícara e Alça","Padrões","Padrões Adicionais","Padrões","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Cup and handle - continuação"
"Padrão Aninhado (Nested)","Padrões","Padrões Adicionais","Padrões","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Padrão dentro de padrão - exaustão múltipla"
"Buying Climax - Definição","Padrões","Clímax","Framework","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Exaustão compradores - barra gigante alta"
"Selling Climax - Definição","Padrões","Clímax","Framework","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Exaustão vendedores - barra gigante baixa"
"Clímax - Identificação","Padrões","Clímax","Identificação","19-29","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Barra gigante (maior 50 barras) + aceleração + 3a/4a perna + distante EMA20"
"Clímax Consecutivo","Padrões","Clímax","Padrão","19-29","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","2+ clímax seguidos - segundo geralmente falha"
"Topos/Fundos em V","Padrões","Formato Clímax","Resultado","19-29","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Reversão abrupta após clímax"
"Clímax - Exhaustion Gap (EG)","Padrões","Clímax Gap","Tipos","19-29","EG e Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Gap não preenchido = máxima/mínima do movimento"
"Clímax - Measuring Gap (MG)","Padrões","Clímax Gap","Tipos","19-29","MG e Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Gap seguido de continuação = projeta mesmo movimento"
"Micro Canal pode ser Clímax","Padrões","Clímax","Relação","19-29","Micro Canal","0","10","","","Livro/Video/Arvore","","","Universal","8+ barras sem romper = clímax disfarçado"
"Clímax - Ação se Dentro da Posição","Padrões","Clímax","Gestão","19-29","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","3a/4a perna: realize TUDO | Se não: scale out 50-75% e move stop breakeven"
"Clímax - Ação se Fora da Posição","Padrões","Clímax","Gestão","19-29","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","NÃO entre a favor (última barra da festa) | Aguarde TBTL | Busque H2/L2 ou MTR"
"Falha de Consecutivo","Padrões","Clímax","Estatística","19-29","Clímax Consecutivo","0","10","","","Livro/Video/Arvore","","","Universal","Segundo clímax geralmente falha - setup venda/compra"
"Bull Trap - Definição","Padrões","Armadilhas","Framework","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Falso rompimento de alta - compradores presos"
"Bear Trap - Definição","Padrões","Armadilhas","Framework","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Falso rompimento de baixa - vendedores presos"
"Armadilha Segunda Perna (comum)","Padrões","Armadilhas","Tipos","19-29","Legs","0","10","","","Livro/Video/Arvore","","","Universal","TBTL trap - segunda perna falsa"
"Armadilha 5 Ticks (Emini)","Padrões","Armadilhas","Tipos","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Emini","Armadilha específica Emini - 5 ticks além pivô"
"Armadilha 11 Pips (Forex)","Padrões","Armadilhas","Tipos","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Forex","Armadilha específica Forex - 11 pips além pivô"
"Armadilha na Abertura","Padrões","Momento Armadilha","Timing","43-46","Abertura","0","10","","","Livro/Video/Arvore","","","Universal","Primeira hora - 80% reversão"
"Armadilha Final do Dia","Padrões","Momento Armadilha","Timing","43-46","Final Dia","0","10","","","Livro/Video/Arvore","","","Universal","Última hora - breakouts falhos"
"Armadilha Após Clímax","Padrões","Momento Armadilha","Timing","19-29","Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Pós-exaustão - setup mais confiável"
"Armadilha Em TR","Padrões","Momento Armadilha","Timing","12-18","TR","0","10","","","Livro/Video/Arvore","","","Universal","Falsos BOs nas extremidades do range"
"Armadilha e Exaustão","Padrões","Armadilhas","Relação","19-29","Armadilha e Clímax","0","10","","","Livro/Video/Arvore","","","Universal","Trap = sinal de exaustão iminente"
"Falha de Armadilha (vira tendência)","Padrões","Armadilhas","Falha","19-29","Armadilha","0","10","","","Livro/Video/Arvore","","","Universal","BO real após trap falhado - raro mas poderoso"
"Topos/Fundos Arredondados","Padrões","Outros Padrões","Padrões","19-29","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Geralmente é cunha disfarçada"
"Breakout Bem Sucedido (Strong BO)","Padrões","Rompimento","Setup Específico","12-18","BO Forte","0","10","","","Livro/Video/Arvore","60-70%","Universal","Universal","Entrada: Market/BTC/Stop High+1 | Stop: Swing anterior ou 2x barra | Alvo: MM ou próximo S/R HTF"
"Breakout Fraco/Falhado","Padrões","Rompimento","Setup Específico","12-18","BO Fraco","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","Fade: aguarde retornar ao range | Entrada: stop contra BO | Stop: além extremo BO | Alvo: meio range"
"Vacuum Effect (Efeito Vácuo)","Padrões","Rompimento","Setup Específico","12-18","Efeito Vácuo","0","10","","","Livro/Video/Arvore","","Universal","Universal","NÃO entre durante vácuo | Aguarde teste S/R | Reversão no teste com pavio longo | Alvo: origem do vácuo"
"Failed Breakout Fade Setup","Padrões","TR","Setup Específico","12-18","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","BO retornou dentro: stop abaixo/acima retorno | Stop: 1-2 ticks além pico BO | Alvo1: meio range | Alvo2: fundo/topo range"
"Swing Trading","Decisão e Operação","Tipos de Operação","Estilo","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Retorno 2x+ risco | Ambiente: tendência e canal | Operação base do iniciante"
"Scalping","Decisão e Operação","Tipos de Operação","Estilo","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Retorno <2x risco | Múltiplas operações | NÃO para iniciantes"
"Scalp - Tamanho Mínimo Emini","Decisão e Operação","Scalping","Parâmetros","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Emini","4 ticks mínimo no Emini para cobrir custos"
"Scalp - Dois Timeframes","Decisão e Operação","Scalping","Técnica","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Opera no gráfico de 2min com referência 5min"
"Scalp - Gráfico 2 Minutos","Decisão e Operação","Scalping","Ferramentas","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Timeframe principal para scalp"
"Scalp - Gráfico 15 Segundos","Decisão e Operação","Scalping","Ferramentas","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Entrada muito precisa - avançado"
"Scalp - 50 Setups/Dia","Decisão e Operação","Scalping","Quantidade","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Volume alto de setups - requer velocidade"
"Scalp em TR","Decisão e Operação","Scalping","Ambiente","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Melhor ambiente para scalp"
"Scalp em BO Forte","Decisão e Operação","Scalping","Ambiente","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","BO forte também permite scalp"
"Perda se Gerenciar Scalp Como Swing","Decisão e Operação","Scalping","Erro Fatal","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Alvos muito grandes para scalp = perde"
"Convertendo Swing para Scalp","Decisão e Operação","Tipos de Operação","Adaptação","30-36","Swing Trading e Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Quando trade não desenvolve - aceite lucro menor"
"Stop Order","Decisão e Operação","Ordens","Tipos","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Compra ACIMA / Venda ABAIXO | Para rompimentos | Melhores para maioria"
"Limit Order","Decisão e Operação","Ordens","Tipos","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Compra ABAIXO / Venda ACIMA | Para pullbacks e fade | Traders habilidosos"
"Market Order","Decisão e Operação","Ordens","Tipos","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Imediata a qualquer preço | Urgência máxima | Use raramente"
"Bracket Order","Decisão e Operação","Ordens","Tipos","30-36","Stop Order e Limit Order","0","10","","","Livro/Video/Arvore","","","Universal","Entrada + stop + alvo em ordem única"
"Scale In com Limit Orders","Decisão e Operação","Ordens","Técnica","30-36","Limit Order","0","10","","","Livro/Video/Arvore","","","Universal","Múltiplas limits em diferentes níveis - LOM"
"Stop Order para Iniciantes","Decisão e Operação","Ordens","Recomendação","30-36","Stop Order","0","10","","","Livro/Video/Arvore","","","Universal","Mais segura - confirma direção antes entrar"
"Ordens na Abertura (Stop Melhores)","Decisão e Operação","Ordens","Timing","43-46","Stop Order","0","10","","","Livro/Video/Arvore","","","Universal","Abertura: stop orders mais seguras"
"Limite para LOM Estabelecido","Decisão e Operação","Ordens","Contexto","30-36","LOM","0","10","","","Livro/Video/Arvore","","","Universal","Use limit apenas em TR estabelecida"
"Timing de Entrada - Antecipado","Decisão e Operação","Entrada","Timing","30-36","Entrada","0","10","","","Livro/Video/Arvore","","","Universal","Antes completar setup | Melhor preço | Mais risco"
"Timing de Entrada - Na Hora","Decisão e Operação","Entrada","Timing","30-36","Entrada","0","10","","","Livro/Video/Arvore","","","Universal","No sinal | Balance de preço e confirmação"
"Timing de Entrada - Atrasado","Decisão e Operação","Entrada","Timing","30-36","Entrada","0","10","","","Livro/Video/Arvore","","","Universal","Após confirmação | Pior preço | Menos risco"
"Entrada Prematura via LTF","Decisão e Operação","Entrada","Técnica Avançada","30-36","LTF","0","10","","","Livro/Video/Arvore","","","Universal","Entrar no LTF antes do sinal no CTF"
"Como Entrar em Reversões","Decisão e Operação","Entrada","Contexto","30-36","MTR","0","10","","","Livro/Video/Arvore","","","Universal","Aguardar LH/HL confirmado antes entrar"
"Tamanho de Posição","Decisão e Operação","Entrada","Sizing","30-36","Risco","0","10","","","Livro/Video/Arvore","","","Universal","Calcular contratos baseado no risco fixo"
"Posição Total vs Fracionada","Decisão e Operação","Entrada","Sizing","30-36","Tamanho Posição","0","10","","","Livro/Video/Arvore","","","Universal","1 entrada total vs múltiplas entradas menores"
"BTC - Buy The Close","Decisão e Operação","Entrada","Técnica Específica","30-36","Tendência Alta","0","10","","","Livro/Video/Arvore","","","Universal","Comprar no fechamento de cada barra que fecha forte | Canal estreito | Vantagem: confirmação máxima | Desvantagem: pior preço"
"STC - Sell The Close","Decisão e Operação","Entrada","Técnica Específica","30-36","Tendência Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Vender no fechamento de cada barra que fecha fraca | Canal estreito baixa | Invertido do BTC"
"Price Action Stop (Stop Técnico)","Decisão e Operação","Stop Loss","Tipos","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Compra: abaixo último HL major | Venda: acima último LH major | Onde premissa é invalidada"
"Catastrophe Stop","Decisão e Operação","Stop Loss","Tipos","30-36","MM","0","10","","","Livro/Video/Arvore","","","Universal","Para breakouts: MM barra/padrão projetado direção oposta | Ex: BO 20pts = stop 20pts abaixo topo"
"Stop Breakeven","Decisão e Operação","Stop Loss","Tipos","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Mover stop para entrada após trade confirmar"
"Trailing Stop","Decisão e Operação","Stop Loss","Tipos","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Seguir abaixo cada novo HL (alta) ou acima LH (baixa)"
"Stop Fixo","Decisão e Operação","Stop Loss","Tipos","30-36","Risco Fixo","0","10","","","Livro/Video/Arvore","","","Universal","Valor fixo por trade - menos técnico"
"Stop Apertado (scalp/tendência forte)","Decisão e Operação","Stop Loss","Tamanho","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Abaixo barra sinal apenas - correções rasas"
"Stop Médio","Decisão e Operação","Stop Loss","Tamanho","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Beyond swing minor - padrão"
"Stop Largo (TR/contra tendência)","Decisão e Operação","Stop Loss","Tamanho","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Beyond swing major - canal amplo e TR"
"Stop Correto (não arbitrário)","Decisão e Operação","Stop Loss","Princípio","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Escolha stop técnico PRIMEIRO depois calcule tamanho"
"Stop Determina Tamanho Posição","Decisão e Operação","Stop Loss","Princípio","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Risco fixo / distância stop = nº contratos"
"Regra: Nunca Mover Stop Contra","Decisão e Operação","Stop Loss","Regra","30-36","Trailing Stop","0","10","","","Livro/Video/Arvore","","","Universal","NUNCA ampliar risco - só mover a favor"
"Saia se Premissa Mudar","Decisão e Operação","Stop Loss","Regra","30-36","Stop Loss","0","10","","","Livro/Video/Arvore","","","Universal","Razão da entrada não existe mais = saia imediatamente"
"Stop Compradores: Abaixo HL","Decisão e Operação","Stop Loss","Regra","30-36","Higher Low","0","10","","","Livro/Video/Arvore","","","Universal","Para compras: stop abaixo último HL major"
"Stop Vendedores: Acima LH","Decisão e Operação","Stop Loss","Regra","30-36","Lower High","0","10","","","Livro/Video/Arvore","","","Universal","Para vendas: stop acima último LH major"
"Gestão Durante o Trade","Decisão e Operação","Gestão","Framework","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Mover stop / Adicionar posição / Reduzir posição"
"Mover Stop a Favor","Decisão e Operação","Gestão","Ações","30-36","Trailing Stop","0","10","","","Livro/Video/Arvore","","","Universal","Após novo HL/LH confirmado - proteger lucro"
"Adicionar à Posição (Scale In)","Decisão e Operação","Gestão","Ações","30-36","Scale In","0","10","","","Livro/Video/Arvore","","","Universal","APENAS em ganhadora - nunca em perdedora"
"Reduzir Posição (Scale Out)","Decisão e Operação","Gestão","Ações","30-36","Scale Out","0","10","","","Livro/Video/Arvore","","","Universal","Realizar parcial em alvo 1 - mover stop breakeven"
"Gerenciamento É DEPOIS de Entrar","Decisão e Operação","Gestão","Princípio","30-36","Gestão","0","10","","","Livro/Video/Arvore","","","Universal","Planejamento pré-trade - execução pós-trade"
"Premissa Mudou = Saia","Decisão e Operação","Gestão","Regra","30-36","Gestão","0","10","","","Livro/Video/Arvore","","","Universal","Razão técnica para sair - não emocional"
"Outside Bar Contra = Saia Imediatamente","Decisão e Operação","Gestão","Regra","30-36","Outside Bar","0","10","","","Livro/Video/Arvore","","","Universal","Outside bar contra sua posição = saída imediata"
"Barb Wire = Saia ou Reduza","Decisão e Operação","Gestão","Regra","30-36","TTR","0","10","","","Livro/Video/Arvore","","","Universal","3-5 barras sobrepostas em breakout = saia"
"Converter Swing para Scalp","Decisão e Operação","Gestão","Adaptação","30-36","Scalping","0","10","","","Livro/Video/Arvore","","","Universal","Trade estagnado 20+ barras = realize próximo S/R"
"Alvos por Tipo de Trade","Decisão e Operação","Realização","Framework","30-36","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Scalp <2x / Swing 2x+ / Moon shot trailing"
"Alvo 1 - Scalp (50% posição)","Decisão e Operação","Realização","Escalonamento","30-36","Scale Out","0","10","","","Livro/Video/Arvore","","","Universal","Realize 50% no primeiro S/R ou 2x risco"
"Alvo 2 - Swing (30% posição)","Decisão e Operação","Realização","Escalonamento","30-36","Scale Out","0","10","","","Livro/Video/Arvore","","","Universal","Próximo S/R major ou 3x risco"
"Alvo 3 - Moon Shot (20% posição)","Decisão e Operação","Realização","Escalonamento","30-36","Scale Out","0","10","","","Livro/Video/Arvore","","","Universal","Trailing stop - sem alvo fixo - deixe correr"
"Measured Move como Alvo","Decisão e Operação","Realização","Matemática","30-36","MM","0","10","","","Livro/Video/Arvore","","","Universal","Altura range/padrão projetada = alvo principal"
"Leg 1 = Leg 2 como Alvo","Decisão e Operação","Realização","Matemática","30-36","MM","0","10","","","Livro/Video/Arvore","","","Universal","Segunda perna projeta igual à primeira"
"Sinais para Realizar Lucro","Decisão e Operação","Realização","Gatilhos","30-36","Realização","0","10","","","Livro/Video/Arvore","","","Universal","Alvo atingido | Wedge | Duplo topo/fundo | Clímax | S/R major HTF | H4/L4 | Rompeu canal | Barb wire 5+ barras | Premissa mudou"
"Planeje Antes de Entrar","Decisão e Operação","Realização","Princípio","30-36","Realização","0","10","","","Livro/Video/Arvore","","","Universal","Defina alvo ANTES de entrar - não depois"
"Realizando em TR","Decisão e Operação","Realização","Contexto","30-36","TR","0","10","","","Livro/Video/Arvore","","","Universal","Realize no S/R oposto - não espere mais"
"Scale In em Ganhadora (OK)","Decisão e Operação","Fracionamento","Scale In","30-36","Gestão","0","10","","","Livro/Video/Arvore","","","Universal","Adicionar em posição com lucro - contexto favorável"
"Scale In em Perdedora (PERIGO)","Decisão e Operação","Fracionamento","Scale In","30-36","Gestão","0","10","","","Livro/Video/Arvore","","","Universal","NUNCA fazer média baixo - erro fatal"
"Scale Out - Estratégia 2 Partes","Decisão e Operação","Fracionamento","Scale Out","30-36","Realização","0","10","","","Livro/Video/Arvore","","","Universal","50% no Alvo 1 (move stop BE) + 50% no Alvo 2"
"Scale Out - Estratégia 4 Partes","Decisão e Operação","Fracionamento","Scale Out","30-36","Realização","0","10","","","Livro/Video/Arvore","","","Universal","1/4 em cada alvo - gestão mais granular"
"Fracionamento Cria Grandes Perdas","Decisão e Operação","Fracionamento","Risco","30-36","Gestão","0","10","","","Livro/Video/Arvore","","","Universal","Scale in errado + stop largo = desastre"
"Stops Longos e Fracionamento","Decisão e Operação","Fracionamento","Relação","30-36","Stop Largo e Scale In","0","10","","","Livro/Video/Arvore","","","Universal","Combinação perigosa - calcule o risco total"
"Checklist Pré-Trade - Always In","Decisão e Operação","Checklist","Verificação","30-36","Conceito Always In","0","10","","","Livro/Video/Arvore","","","Universal","Estou operando a favor do Always In?"
"Checklist Pré-Trade - Setup Válido","Decisão e Operação","Checklist","Verificação","30-36","Definição Setup","0","10","","","Livro/Video/Arvore","","","Universal","Tenho H1/H2/MTR/Wedge/Duplo válido?"
"Checklist Pré-Trade - Contexto Certo","Decisão e Operação","Checklist","Verificação","30-36","Ciclo de Mercado","0","10","","","Livro/Video/Arvore","","","Universal","Comprando alto em TR? Vendendo baixo em alta? (ERROS FATAIS)"
"Checklist Pré-Trade - Barra Sinal","Decisão e Operação","Checklist","Verificação","30-36","Barra de Sinal","0","10","","","Livro/Video/Arvore","","","Universal","Barra atual é boa? Corpo/fechamento/pavio OK?"
"Checklist Pré-Trade - Matemática","Decisão e Operação","Checklist","Verificação","30-36","Equação do Trader","0","10","","","Livro/Video/Arvore","","","Universal","Stop técnico definido? Alvo realista? R:R >= 1:1.5?"
"Checklist Pré-Trade - Timing","Decisão e Operação","Checklist","Verificação","30-36","Momentos do Dia","0","10","","","Livro/Video/Arvore","","","Universal","Após clímax? Em barb wire? Notícia em 5min?"
"Checklist Pré-Trade - Emocional","Decisão e Operação","Checklist","Verificação","30-36","Psicologia","0","10","","","Livro/Video/Arvore","","","Universal","Estou calmo? Acredito no setup? Aceito a perda?"
"Operando Tendência de Alta - Visão Geral","Operando por Contexto","Operando Tendências","Alta","37-42","Tendência Alta","0","10","","","Livro/Video/Arvore","","","Universal","Compra correção/rompimento/fechamento | Stop abaixo HL | Swing prioritário | Não venda contra"
"H1 em Canal Estreito Alta","Operando por Contexto","Operando Tendências","Setup","37-42","Canal Estreito Alta","0","10","","","Livro/Video/Arvore","","","Universal","Primeira correção 1-3 barras | Entrada: stop 1 tick acima máxima barra sinal | Stop: abaixo mínima barra sinal | Alvo: MM ou próximo S/R | MELHOR setup canal estreito"
"H2 em Canal Amplo Alta","Operando por Contexto","Operando Tendências","Setup","37-42","Canal Amplo Alta","0","10","","","Livro/Video/Arvore","","","Universal","Correção ABC até 50% ou EMA20 | Entrada: stop 1 tick acima máxima sinal | Stop: abaixo fundo correção | Alvo: nova máxima + MM | MELHOR setup canal amplo"
"BTC em Canal Alta","Operando por Contexto","Operando Tendências","Técnica","37-42","BTC","0","10","","","Livro/Video/Arvore","","","Universal","Compra no fechamento de cada barra forte | Canal estreito ou micro canal | Confirma compradores no controle"
"Não Venda Contra Tendência Alta","Operando por Contexto","Operando Tendências","Regra","37-42","Tendência Alta","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","80% tentativas reversão falham - respeite a inércia"
"Operando Tendência de Baixa - Visão Geral","Operando por Contexto","Operando Tendências","Baixa","37-42","Tendência Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Venda rally/rompimento/fechamento | Stop acima LH | Swing prioritário | Não compre contra"
"L1 em Canal Estreito Baixa","Operando por Contexto","Operando Tendências","Setup","37-42","Canal Estreito Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Primeiro rally 1-3 barras | Entrada: stop 1 tick abaixo mínima barra sinal | Stop: acima máxima sinal | Alvo: MM ou próximo S/R"
"L2 em Canal Amplo Baixa","Operando por Contexto","Operando Tendências","Setup","37-42","Canal Amplo Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Rally ABC até 50% ou EMA20 | Entrada: stop 1 tick abaixo mínima sinal | Stop: acima topo rally | Alvo: nova mínima + MM"
"STC em Canal Baixa","Operando por Contexto","Operando Tendências","Técnica","37-42","STC","0","10","","","Livro/Video/Arvore","","","Universal","Venda no fechamento de cada barra fraca | Canal estreito baixa"
"Entrando Tarde (FOMO)","Operando por Contexto","Operando Tendências","Armadilha","37-42","FOMO","0","10","","","Livro/Video/Arvore","","","Universal","Barras final tendência - não entre tarde - aceite ter perdido"
"Apostando Contra BO Tardio","Operando por Contexto","Operando Tendências","Estratégia","37-42","BO Tardio","0","10","","","Livro/Video/Arvore","","","Universal","BO tardio em tendência = fade (aposta contra) - clímax"
"Operando Canal Estreito Alta - Regras","Operando por Contexto","Operando Canais","Alta","37-42","Canal Estreito Alta","0","10","","","Livro/Video/Arvore","","","Universal","Compra pullback raso | Compra após ii | Stop apertado abaixo HL | Swing | Primeira reversão falha | Vendedores não ganham"
"Operando Canal Estreito Baixa - Regras","Operando por Contexto","Operando Canais","Baixa","37-42","Canal Estreito Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Venda rally raso | Venda após ii | Stop apertado acima LH | Swing | Primeira reversão falha | Compradores não ganham"
"Operando Canal Amplo Alta - Regras","Operando por Contexto","Operando Canais","Alta","37-42","Canal Amplo Alta","0","10","","","Livro/Video/Arvore","","","Universal","Compra zona inferior (50% do canal) | Venda rally scalp (zona superior) | Stop largo beyond swing major | Reduz tamanho posição"
"Operando Canal Amplo Baixa - Regras","Operando por Contexto","Operando Canais","Baixa","37-42","Canal Amplo Baixa","0","10","","","Livro/Video/Arvore","","","Universal","Venda zona superior (50% do canal) | Compra queda scalp (zona inferior) | Stop largo | Dura pelo menos 3 dias"
"Regras Gestão Canal Amplo","Operando por Contexto","Operando Canais","Gestão","37-42","Canal Amplo","0","10","","","Livro/Video/Arvore","","","Universal","Stops LARGOS | Reduza tamanho posição | Entre 50% e adicione se confirmar | BLSHS dentro canal | Realize parcial teste linha superior"
"Evolução Natural do Canal","Operando por Contexto","Operando Canais","Perspectiva","37-42","Canal","0","10","","","Livro/Video/Arvore","","","Universal","Canal estreito -> micro canal (clímax) -> correção | OU -> canal amplo | OU -> TR"
"Canal em HTF vs CTF","Operando por Contexto","Operando Canais","Multi-TF","37-42","HTF e Canal","0","10","","","Livro/Video/Arvore","","","Universal","Canal amplo CTF = canal estreito HTF - perspectiva"
"Fade Linha de Canal","Operando por Contexto","Operando Canais","Técnica","37-42","Linha de Canal","0","10","","","Livro/Video/Arvore","70%","Universal","Universal","Preço atinge linha canal oposta: realize ou scalp contra | Probabilidade 70% de testar | Não é reversão - é oportunidade parcial"
"Overshoot no Canal","Operando por Contexto","Operando Canais","Padrão","37-42","Overshoot","0","10","","","Livro/Video/Arvore","","","Universal","Rompe linha e retorna: sinal exaustão | Realize posição a favor | Pode iniciar reversal | Aguarde confirmação antes entrar contra"
"Operando TR - Regras Gerais","Operando por Contexto","Operando Lateralidades","Framework","37-42","BLSHS","0","10","","","Livro/Video/Arvore","","","Universal","BLSHS obrigatório | Aposte CONTRA rompimentos | Use limit orders nos extremos | Stop largo | Scalp | Fracionar | Realize meio range"
"Compra Metade Inferior TR","Operando por Contexto","Operando Lateralidades","Entrada","37-42","BLSHS Buy Low","0","10","","","Livro/Video/Arvore","","","Universal","Entrada: limit order abaixo barras no fundo | Stop: além fundo TR | Alvo: meio range (scale) + topo range"
"Venda Metade Superior TR","Operando por Contexto","Operando Lateralidades","Entrada","37-42","BLSHS Sell High","0","10","","","Livro/Video/Arvore","","","Universal","Entrada: limit order acima barras no topo | Stop: além topo TR | Alvo: meio range + fundo range"
"Regra 80% na TR","Operando por Contexto","Operando Lateralidades","Estatística","37-42","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","80% BOs de TR falham - apostem contra sempre"
"LOM - Como Operar","Operando por Contexto","Operando Lateralidades","Modo","37-42","LOM","0","10","","","Livro/Video/Arvore","","","Universal","TR 15+ barras | Use limit orders nas extremidades | Compra abaixo barras no fundo | Venda acima barras no topo | Scale in se necessário"
"BOM - Como Operar","Operando por Contexto","Operando Lateralidades","Modo","37-42","BOM","0","10","","","Livro/Video/Arvore","","","Universal","TR nova <10 barras | NÃO opere reversões ainda | NÃO use limit orders ainda | Aguarde breakout e use stop orders"
"TTR - Como Operar","Operando por Contexto","Operando Lateralidades","Setup","37-42","TTR","0","10","","","Livro/Video/Arvore","","","Universal","NÃO opere DENTRO do TTR | OPERE o breakout (stop além TTR) | FADE se breakout falhar | Alvo: altura TTR projetada"
"Zona Neutra da TR (Meio) - Evitar","Operando por Contexto","Operando Lateralidades","Regra","37-42","Posição no Meio TR","0","10","","","Livro/Video/Arvore","","","Universal","Probabilidade 50/50 sem edge - NÃO OPERE no meio"
"Aposte Contra BO na TR","Operando por Contexto","Operando Lateralidades","Técnica","37-42","Regra dos 80%","0","10","","","Livro/Video/Arvore","80%","Universal","Universal","BO fraco retornou: stop abaixo/acima retorno | Stop: 1-2 ticks além pico | Alvo1: meio range | Alvo2: lado oposto | Trapped traders"
"Eventualmente TR Rompe","Operando por Contexto","Operando Lateralidades","Perspectiva","37-42","TR","0","10","","","Livro/Video/Arvore","20%","Universal","Universal","Questão de quando - fique atento ao BO verdadeiro (20%)"
